"LABID","PT","PEN","AMO","MER","TAX","CFT","CFX","PEN_MIC_MM","AMO_MIC_MM","MER_MIC_MM","TAX_MIC_MM","CFT_MIC_MM","CFX_MIC_MM","PEN_MIC_RF","AMO_MIC_RF","MER_MIC_RF","TAX_MIC_RF","CFT_MIC_RF","CFX_MIC_RF","Platform"
"0036-00","13-16-47","1","1","0.5","0.5",NA,"4","2","2","0.5","1",NA,"4","2","1.64","0.47","0.97","1.16","4","HiSeq"
"0042-99","0-1-48","0.25","0.25","0.06","0.12",NA,"0.5","0.25","0.06","0.06","0.06","0.5","0.5","0.3","0.23","0.1","0.32","0.65","1.52","HiSeq"
"0043-99","27-38-52","8","8","2","8",NA,"4","4","8","1","2","1","4","3.9","8.47","1.06","6.18","3.44","3.61","HiSeq"
"0068-99","3-5-5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0074-99","0-4-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0103-99","0-0-3","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0104-99","35-33-36","2","2","0.25","1",NA,"4","4","8","2","1",NA,"4","2.1","1.91","0.46","0.88","0.97","3.68","HiSeq"
"0117-99","6-40-52","0.5","0.12","0.06","0.25",NA,"0.5","0.5","0.25","0.06","0.5","0.5","2","0.42","0.22","0.09","2.45","1.18","1.86","HiSeq"
"0131-99","0-0-53","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0133-99","0-4-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0165-01","15-12-18","2","1","0.5","1",NA,"4","4","2","1","2","1","4","2.77","1.93","0.58","1.2","1.07","3.85","HiSeq"
"0181-01","27-36-8","2","4","1","1",NA,"4","4","8","2","8",NA,"4","3.69","6.92","1.3","1.34","0.99","3.99","HiSeq"
"0205-99","0-4-0","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0223-99","23-26-49","0.06","0.06","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0236-99","23-0-2","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06",NA,"0.5","0.03","0.03","0.06","0.06","0.5","0.5","HiSeq"
"0237-99","0-29-11","0.12","0.12","0.12","0.06",NA,"0.5","0.12","0.06","0.06","0.06","0.5","0.5","0.12","0.08","0.06","0.06","0.5","0.5","HiSeq"
