"LABID","PT","PEN","AMO","MER","TAX","CFT","CFX","PEN_MIC_MM","AMO_MIC_MM","MER_MIC_MM","TAX_MIC_MM","CFT_MIC_MM","CFX_MIC_MM","PEN_MIC_RF","AMO_MIC_RF","MER_MIC_RF","TAX_MIC_RF","CFT_MIC_RF","CFX_MIC_RF","Platform","NewPT"
"20151889","66-62-91","0.25","0.25","0.12","0.12","0.5","0.5","0.12","0.12",NA,"0.12",NA,"0.5","0.13","0.18","0.11","0.12","0.54","0.54","MiSeq","Y"
"20152190","12-0-123","0.03","0.03","0.06","0.06","0.5","0.5","0.06","0.03","0.06","0.06",NA,"0.5","0.13","0.08","0.07","0.13","0.5","0.58","MiSeq","Y"
"20152241","67-27-35","0.5","0.5","0.12","0.25","0.5","0.5","0.5","0.25","0.06","0.25","0.5","0.5","0.46","0.3","0.1","0.22","0.5","0.51","MiSeq","Y"
"20152423","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152424","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152425","2-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152426","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152427","9-0-3","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152428","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152429","2-4-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152430","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152431","2-0-6","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152432","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152433","2-3-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152643","1-4-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152655","34-76-7","2","8","1","1","1","4","4","8","2","4",NA,"4","2.97","5.85","1.36","1.12","1.19","3.69","MiSeq","Y"
"20152678","68-10-11","0.06","0.06","0.06","0.06","0.5","0.5","0.06","0.06","0.06","0.06","0.5","0.5","0.06","0.05","0.06","0.06","0.5","0.5","MiSeq","Y"
"20152680","3-5-5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20152698","2-0-9","0.06","0.03","0.06","0.12","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.05","0.05","0.06","0.08","0.5","0.5","MiSeq","N"
"20152819","8-12-36","1","2","0.25","0.5","0.5","2","1","1","0.12","0.5","0.5","2","0.64","0.72","0.15","0.32","0.65","1.69","MiSeq","Y"
"20152909","24-27-131","0.5","0.5","0.12","0.5","0.5","4","0.5","0.5","0.12","1","1","4","0.45","0.34","0.11","0.61","0.78","2.98","MiSeq","Y"
"20152916","39-36-130","2","4","1","1","1","4","4","8","2","1",NA,"4","3.28","5.15","0.97","0.67","0.92","2.79","MiSeq","Y"
"20152970","27-77-8","4","8","1","2","2","4","4","8","1","1","2","4","3.02","6.2","1.16","1.2","1.57","3.82","MiSeq","Y"
"20153021","4-7-133","2","2","0.5","1","1","4","2","4","0.5","1","1","4","1.81","2.91","0.67","0.86","0.93","3.83","MiSeq","Y"
"20153203","1-0-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","MiSeq","N"
"20153244","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153245","4-7-7","1","2","0.5","0.5","1","4","2","4","0.5","1","1","4","1.81","2.91","0.67","0.86","0.93","3.83","MiSeq","N"
"20153246","0-2-0","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.51","MiSeq","N"
"20153248","1-2-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
"20153251","0-0-2","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","0.03","0.03","0.06","0.06","0.5","0.5","MiSeq","N"
