RMSE,Rsquared,Resample
0.3978473,0.9729785,Fold01.Rep1
0.5187631,0.9579789,Fold02.Rep1
0.613597,0.9355971,Fold03.Rep1
0.3970688,0.9780295,Fold04.Rep1
0.3770995,0.9770345,Fold05.Rep1
0.4900669,0.9639823,Fold06.Rep1
0.5487469,0.9550764,Fold07.Rep1
0.4289952,0.9705366,Fold08.Rep1
0.4573339,0.9673369,Fold09.Rep1
0.5523249,0.957736,Fold10.Rep1
0.5548645,0.9535384,Fold01.Rep2
0.615601,0.9455499,Fold02.Rep2
0.4464542,0.9675153,Fold03.Rep2
0.4785758,0.9662878,Fold04.Rep2
0.4782661,0.9623828,Fold05.Rep2
0.4003515,0.9731918,Fold06.Rep2
0.4505776,0.9713228,Fold07.Rep2
0.4552187,0.9666872,Fold08.Rep2
0.3670202,0.9797119,Fold09.Rep2
0.5457854,0.9533152,Fold10.Rep2
0.4301635,0.9716617,Fold01.Rep3
0.4250715,0.9713426,Fold02.Rep3
0.4364764,0.9724447,Fold03.Rep3
0.5919082,0.9442862,Fold04.Rep3
0.5451608,0.9519643,Fold05.Rep3
0.4272958,0.971906,Fold06.Rep3
0.6005133,0.9381308,Fold07.Rep3
0.4738401,0.9699208,Fold08.Rep3
0.5210829,0.9559091,Fold09.Rep3
0.348933,0.9807413,Fold10.Rep3
